model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_video_attention_mass,std_video_attention_mass
Video-KTR,/data1/liugengyuan/models/Video-KTR,0.0,100.0,100.0,2.063444139957428,0.004751243266275052,0.9923068827390671,0.002284865175906877,0.07345562668517232,0.02511796865772828,0.536955460011959,0.07420573218009142,0.3826360422372818,0.10759793329210561
Video-KTR,/data1/liugengyuan/models/Video-KTR,1.0,100.0,100.0,2.0509285163879394,0.006722671767866743,0.9862881416082382,0.003232922610291819,0.0729346582479775,0.029503387859343432,0.6619924154877662,0.08017347899502078,0.3924490828812122,0.07406313394109805
Video-KTR,/data1/liugengyuan/models/Video-KTR,2.0,100.0,100.0,2.068490786552429,0.004223679901546111,0.994733806848526,0.002031162846865658,0.1733522441238165,0.05038399740573292,0.4551132361590862,0.07344056664449007,0.23541502512991427,0.05953684183742244
Video-KTR,/data1/liugengyuan/models/Video-KTR,3.0,100.0,100.0,2.0611418318748473,0.0059762288686985455,0.9911997067928314,0.0028739588599552826,0.13754863560199737,0.04263373464582628,0.5569579407572747,0.08004666659259833,0.33010919094085694,0.07188930534742545
Video-KTR,/data1/liugengyuan/models/Video-KTR,4.0,100.0,100.0,2.0751086950302122,0.0034519437589743012,0.9979163485765458,0.0016600337396603776,0.1773615213483572,0.04666040970559004,0.3165580090880394,0.08067410627012375,0.09039914235472679,0.023478086292868825
Video-KTR,/data1/liugengyuan/models/Video-KTR,5.0,100.0,100.0,2.0774235200881956,0.0022090411044627003,0.9990295445919037,0.0010623270470124543,0.17817055463790893,0.05240431985106733,0.23674037516117097,0.06553574740775296,0.121124522164464,0.028894246401535255
Video-KTR,/data1/liugengyuan/models/Video-KTR,6.0,100.0,100.0,2.0483738493919375,0.008926126382212235,0.9850596076250077,0.004292561514229332,0.06477535779587924,0.023689934279374943,0.6812901408970355,0.09184002677531376,0.18826294597238302,0.06339118257240989
Video-KTR,/data1/liugengyuan/models/Video-KTR,7.0,100.0,100.0,2.076088342666626,0.0029824503362427873,0.9983874624967575,0.0014342541194310443,0.1570612359046936,0.04315356231942065,0.2931138192117214,0.07586894457886333,0.060366983711719516,0.018061944591737388
Video-KTR,/data1/liugengyuan/models/Video-KTR,8.0,100.0,100.0,2.0766437101364135,0.0025155899041056644,0.9986545336246491,0.0012097423920357645,0.19196573689579963,0.05917683478196335,0.27013208612799644,0.07010715155384005,0.05950798861682415,0.018170733068754445
Video-KTR,/data1/liugengyuan/models/Video-KTR,9.0,100.0,100.0,2.0774280405044556,0.001326998574274461,0.9990317207574845,0.0006381534133716967,0.2374643687158823,0.05730180544997203,0.25504941657185554,0.04907154621102158,0.12641556829214096,0.02632991852097293
Video-KTR,/data1/liugengyuan/models/Video-KTR,10.0,100.0,100.0,2.0715746307373046,0.004906820324337435,0.996216824054718,0.0023596852798984107,0.14514388985931873,0.04363876887653604,0.39904246866703036,0.09898273228659196,0.0683935509249568,0.022551557195931857
Video-KTR,/data1/liugengyuan/models/Video-KTR,11.0,100.0,100.0,2.0703159260749815,0.005917154441105346,0.9956115132570267,0.0028455529086439477,0.1296344877779484,0.05526787915455748,0.42073984861373903,0.10775543698957968,0.05726514182984829,0.023056792883422498
Video-KTR,/data1/liugengyuan/models/Video-KTR,12.0,100.0,100.0,2.0780728793144227,0.0013560310715171825,0.9993418222665786,0.0006521122450789492,0.1335362185910344,0.047119447171437304,0.2262467536330223,0.051858873206929015,0.07926232866942882,0.01818406666170207
Video-KTR,/data1/liugengyuan/models/Video-KTR,13.0,100.0,100.0,2.0749229192733765,0.0027037070617612984,0.9978270095586776,0.0013002081708731433,0.12282906912267208,0.05109905189326414,0.3382567930221558,0.0730456832767668,0.1242784608900547,0.03513165541432048
Video-KTR,/data1/liugengyuan/models/Video-KTR,14.0,100.0,100.0,2.0783324360847475,0.0008894687310727496,0.9994666397571563,0.00042774283582981297,0.15532124072313308,0.05764554912253612,0.2122445984184742,0.04394450084061385,0.06984865687787532,0.011941715642041169
Video-KTR,/data1/liugengyuan/models/Video-KTR,15.0,100.0,100.0,2.0588701248168944,0.006288233131404437,0.990107244849205,0.003024001674761615,0.05740602619946003,0.030364253038771143,0.5869432520866394,0.08188435942364973,0.08566181942820549,0.0261088435299357
Video-KTR,/data1/liugengyuan/models/Video-KTR,16.0,100.0,100.0,2.0769359159469603,0.0020335368781047164,0.9987950563430786,0.000977925553894529,0.10424284424632788,0.051926656008452345,0.2636738629639149,0.06717910338618605,0.029611314004287122,0.009755225191156753
Video-KTR,/data1/liugengyuan/models/Video-KTR,17.0,100.0,100.0,2.0762200236320494,0.0025389161600162273,0.9984507840871811,0.0012209611020754223,0.10011271491646767,0.04861318379022137,0.29353818312287333,0.07620631590978316,0.0453709738701582,0.016271386480903777
