model,subset,num_pairs,basic_accuracy,halluc_accuracy,accuracy,errors,missing_video
Qwen3-VL-8B-Instruct,obj_rel,200,0.81,0.795,0.65,0,0
Qwen3-VL-8B-Instruct,temporal,176,0.8181818181818182,0.6818181818181818,0.5681818181818182,0,0
Qwen3-VL-8B-Instruct,semantic,200,0.885,0.84,0.735,0,0
Qwen3-VL-8B-Instruct,interaction,124,0.3790322580645161,0.7338709677419355,0.24193548387096775,0,0
Qwen3-VL-8B-Instruct,fact,200,0.785,0.52,0.355,0,0
Qwen3-VL-8B-Instruct,nonfact,200,0.785,0.915,0.71,0,0
Qwen3-VL-8B-Instruct,factdet,50,0.74,0.98,0.72,0,0
Qwen3-VL-8B-Thinking,obj_rel,200,0.785,0.915,0.715,0,0
Qwen3-VL-8B-Thinking,temporal,176,0.8409090909090909,0.7556818181818182,0.6818181818181818,0,0
Qwen3-VL-8B-Thinking,semantic,200,0.86,0.89,0.76,0,0
Qwen3-VL-8B-Thinking,interaction,124,0.31451612903225806,0.7419354838709677,0.18548387096774194,0,0
Qwen3-VL-8B-Thinking,fact,200,0.825,0.425,0.335,0,0
Qwen3-VL-8B-Thinking,nonfact,200,0.825,0.85,0.69,0,0
Qwen3-VL-8B-Thinking,factdet,50,0.88,0.94,0.82,0,0
FAVOR0.5-8B,obj_rel,200,0.65,0.885,0.585,0,0
FAVOR0.5-8B,temporal,176,0.6704545454545454,0.875,0.6420454545454546,0,0
FAVOR0.5-8B,semantic,200,0.855,0.875,0.735,0,0
FAVOR0.5-8B,interaction,124,0.2661290322580645,0.7983870967741935,0.1774193548387097,0,0
FAVOR0.5-8B,fact,200,0.68,0.545,0.31,0,0
FAVOR0.5-8B,nonfact,200,0.68,0.91,0.6,0,0
FAVOR0.5-8B,factdet,50,0.82,0.96,0.78,0,0
Qwen3-VL-8B-Instruct,weighted_all,1150,0.7660869565217391,0.76,0.5704347826086956,,
Qwen3-VL-8B-Instruct,macro_all,7,0.743173439463762,0.7808127356514454,0.5685881860075408,,
Qwen3-VL-8B-Thinking,weighted_all,1150,0.7739130434782608,0.7721739130434783,0.5947826086956521,,
Qwen3-VL-8B-Thinking,macro_all,7,0.7614893171344784,0.7882310431503979,0.5981860075408463,,
FAVOR0.5-8B,weighted_all,1150,0.6652173913043479,0.8208695652173913,0.5391304347826087,,
FAVOR0.5-8B,macro_all,7,0.6602262253875156,0.835483870967742,0.5470664013405949,,
